name;place
ЦОП 1;2 корпус, 1 этаж, направо от входа
ЦОП 2;переход между корпусами 3а и 3г
ЦОП 3;7 этаж 3БВ корпуса
ЦОП 4;ГУК, западное крыло, 4 этаж, около лестницы
ЦОП 5;ГУК, восточное крыло, 4 этаж, около лестницы
Кафе "Переход";3 корпус, 2 этаж
Кафе "Минутка";3 этаж 3а корпуса
Столовая "Импульс";2 корпуса, 1 этаж, напротив входа
Столовая;ГУК, 0 этаж (центральный вход, около левой лестницы)
Столовая 2 общежития;Общежитие 2, Ленина 78, 1 этаж
Кафе "Free Time" 1;западное крыло главного корпуса, 3 этаж
Кафе "Free Time" 2;восточное крыло главного корпуса, 3 этаж
Кафе "Free Time" 3;2 этаж второго корпуса, над входом 
